AGCJ;105;500;3.546;REDWINE;62;30;3;0;2;1;FALL;2014
AGCJ;281;500;3.382;LEGGETTE;22;7;2;2;1;0;FALL;2014
AGCJ;305;500;3.027;DUNSFORD;20;41;11;2;1;1;FALL;2014
AGCJ;307;501;3.75;RUTHERFORD;45;4;1;1;1;0;FALL;2014
AGCJ;308;500;3.25;BRADLEY;3;9;0;0;0;0;FALL;2014
AGCJ;312;501;3.804;MCKIM;41;3;1;0;1;1;FALL;2014
AGCJ;312;700;3.333;MCGRATH;12;8;4;0;0;0;FALL;2014
AGCJ;313;901;3.333;DUNSFORD;9;3;2;1;0;0;FALL;2014
AGCJ;313;902;2.917;DUNSFORD;2;7;3;0;0;0;FALL;2014
AGCJ;314;901;2.857;LEGGETTE;3;8;2;0;1;0;FALL;2014
AGCJ;314;902;3.083;LEGGETTE;3;7;2;0;0;0;FALL;2014
AGCJ;314;903;3.421;LEGGETTE;8;11;0;0;0;2;FALL;2014
AGCJ;366;500;3.818;MCKIM;9;2;0;0;0;0;FALL;2014
AGCJ;380;500;2.864;LEGGETTE;15;17;5;5;2;0;FALL;2014
AGCJ;405;501;3.833;RUTHERFORD;10;2;0;0;0;0;FALL;2014
AGCJ;405;502;3.846;RUTHERFORD;11;2;0;0;0;0;FALL;2014
AGCJ;406;500;3.093;DUNSFORD;11;27;4;0;1;1;FALL;2014
AGCJ;409;500;3.933;ZENT;14;1;0;0;0;0;FALL;2014
AGCJ;485;515;3.75;RUTHERFORD;6;2;0;0;0;0;FALL;2014
AGCJ;489;500;3.148;WEGENER;6;19;2;0;0;2;FALL;2014
AGCJ;489;501;4.0;MCKIM;7;0;0;0;0;0;FALL;2014
AGCJ;491;501;4.0;MCKIM;14;0;0;0;0;0;FALL;2014
AGCJ;494;515;4.0;RUTHERFORD;13;0;0;0;0;0;FALL;2014
AGCJ;494;516;3.6;DUNSFORD;3;2;0;0;0;0;FALL;2014
AGSC;301;500;3.867;HARLIN;39;6;0;0;0;0;FALL;2014
AGSC;373;500;3.353;MURPHY;13;0;2;1;1;0;FALL;2014
AGSC;383;500;3.636;HANCOCK;17;4;0;0;1;0;FALL;2014
AGSC;384;900;3.333;BRIERS;10;6;1;0;1;1;FALL;2014
AGSC;402;900;3.7;HARLIN;16;3;0;1;0;0;FALL;2014
AGSC;405;500;3.5;RAYFIELD;13;6;0;0;1;0;FALL;2014
AGSC;425;502;3.778;RAYFIELD;14;4;0;0;0;0;FALL;2014
AGSC;436;502;3.824;HARLIN;14;3;0;0;0;0;FALL;2014
AGSC;481;501;4.0;MURPHY;17;0;0;0;0;0;FALL;2014
AGSC;484;501;3.625;BRIERS;11;4;1;0;0;0;FALL;2014
ALEC;201;501;3.787;POWELL;60;14;1;0;0;0;FALL;2014
ALEC;380;510;4.0;SMITH;30;0;0;0;0;0;FALL;2014
ALEC;450;500;3.364;WINGENBACH;6;4;0;1;0;1;FALL;2014
ALEC;485;539;4.0;HO;11;0;0;0;0;0;FALL;2014
ALEC;606;600;4.0;MOORE;8;0;0;0;0;0;FALL;2014
ALEC;610;699;3.941;WALKER;16;1;0;0;0;0;FALL;2014
ALEC;610;700;4.0;WALKER;5;0;0;0;0;0;FALL;2014
ALEC;611;699;3.857;DOOLEY;6;1;0;0;0;0;FALL;2014
ALEC;611;700;4.0;DOOLEY;6;0;0;0;0;0;FALL;2014
ALEC;615;600;3.867;MURPHY;14;0;1;0;0;0;FALL;2014
ALEC;623;699;3.7;MURPHREY;8;1;1;0;0;1;FALL;2014
ALEC;623;700;3.857;MURPHREY;6;1;0;0;0;0;FALL;2014
ALEC;624;600;3.667;PINA;6;3;0;0;0;0;FALL;2014
ALEC;631;600;4.0;RIPLEY;21;0;0;0;0;0;FALL;2014
ALEC;640;699;3.905;MURPHREY;19;2;0;0;0;0;FALL;2014
ALEC;644;600;4.0;PINA;8;0;0;0;0;0;FALL;2014
ALEC;695;600;3.706;RAYFIELD;13;3;1;0;0;0;FALL;2014
ALEC;695;699;3.7;STRONG,-JR;7;3;0;0;0;0;FALL;2014
ALEC;695;700;3.333;STRONG,-JR;3;2;1;0;0;0;FALL;2014
ALEC;695;701;4.0;MCKIM;7;0;0;0;0;0;FALL;2014
ALED;125;500;3.975;MOORE;79;0;1;0;0;0;FALL;2014
ALED;202;501;3.281;MOORE;21;33;2;0;1;2;FALL;2014
ALED;202;502;3.396;STAVINOHA;28;21;2;1;1;0;FALL;2014
ALED;202;503;3.172;PERDUE;19;35;1;1;2;0;FALL;2014
ALED;202;504;3.263;MOORE;7;10;2;0;0;0;FALL;2014
ALED;202;505;3.571;STAVINOHA;12;9;0;0;0;0;FALL;2014
ALED;202;506;3.2;PERDUE;9;8;2;0;1;1;FALL;2014
ALED;222;500;4.0;ELBERT;15;0;0;0;0;0;FALL;2014
ALED;301;501;3.58;BOYD;47;16;5;1;0;2;FALL;2014
ALED;301;502;3.256;ODOM;39;25;11;1;2;0;FALL;2014
ALED;301;700;2.414;ODOM;6;9;9;1;4;0;FALL;2014
ALED;340;700;3.0;WILLIAMS;13;15;7;0;2;3;FALL;2014
ALED;340;901;3.2;MOORE;11;9;4;1;0;0;FALL;2014
ALED;340;902;2.84;MOORE;6;10;8;1;0;0;FALL;2014
ALED;340;903;3.25;MOORE;7;16;1;0;0;1;FALL;2014
ALED;340;904;3.16;MOORE;8;13;4;0;0;0;FALL;2014
ALED;340;905;2.956;MOORE;7;8;8;0;0;1;FALL;2014
ALED;340;906;3.08;MOORE;6;15;4;0;0;0;FALL;2014
ALED;340;907;3.167;MOORE;10;10;3;0;1;0;FALL;2014
ALED;340;908;2.708;MOORE;7;9;5;0;3;1;FALL;2014
ALED;341;500;3.731;WILLIAMS;46;2;2;0;2;3;FALL;2014
ALED;344;500;3.842;DODD;34;2;2;0;0;0;FALL;2014
ALED;380;501;3.778;ELBERT;14;4;0;0;0;0;FALL;2014
ALED;380;599;3.462;WILLIAMS;55;14;3;2;4;2;FALL;2014
ALED;400;500;3.417;ODOM;6;5;1;0;0;0;FALL;2014
ALED;422;500;3.646;HO;43;21;1;0;0;2;FALL;2014
